"";"cut_region";"region";"cut_provincia";"provincia";"cut_comuna";"comuna";"año";"mayor";"menor";"menores_porcentaje"
"32";1;"Tarapacá";11;"Iquique";1101;"Iquique";2033;192140;47949;0,249552409701259
"33";1;"Tarapacá";11;"Iquique";1101;"Iquique";2034;193173;47371;0,245225782070993
"34";1;"Tarapacá";11;"Iquique";1101;"Iquique";2035;193919;46986;0,242297041548275
"35";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2002;30790;22835;0,74163689509581
"36";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2003;37471;26335;0,702810173200608
"37";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2004;42449;28613;0,674055925934651
"38";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2005;46116;30010;0,650750281897823
"39";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2006;49052;30872;0,62937291038082
"40";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2007;51616;31489;0,610062771233726
"41";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2008;53997;32045;0,593458895864585
"42";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2009;56268;32609;0,579530105921661
"43";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2010;58456;33198;0,567914328725879
"44";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2011;60745;33872;0,557609679809038
"45";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2012;63103;34551;0,547533397778236
"46";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2013;65403;35163;0,537635888262006
"47";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2014;67802;35820;0,528302999911507
"48";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2015;70149;36545;0,520962522630401
"49";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2016;72463;37269;0,514317651767109
"50";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2017;75112;37986;0,505724784322079
"51";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2018;79294;39085;0,492912452392363
"52";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2019;83630;40520;0,484515126150903
"53";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2020;87967;42032;0,477815544465538
"54";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2021;90995;43090;0,473542502335293
"55";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2022;93402;43861;0,46959379884799
"56";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2023;95696;44586;0,465912890820933
"57";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2024;97971;45323;0,462616488552735
"58";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2025;100358;45979;0,4581498236314
"59";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2026;102863;46553;0,452572839602189
"60";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2027;105531;47001;0,445376240156921
"61";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2028;108278;47403;0,437789763386838
"62";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2029;111114;47752;0,429756826322516
"63";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2030;113957;48123;0,422290864097861
"64";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2031;116826;48522;0,415335627343228
"65";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2032;119739;48916;0,408521868397097
"66";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2033;122686;49312;0,401936651288656
"67";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2034;125597;49780;0,396347046505888
"68";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2035;128343;50449;0,393079482324708
"69";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2002;6341;3492;0,550701782053304
"70";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2003;6401;3436;0,536791126386502
"71";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2004;6546;3453;0,52749770852429
"72";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2005;6763;3508;0,518704716841638
"73";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2006;7028;3584;0,50996015936255
"74";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2007;7322;3676;0,502048620595466
"75";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2008;7641;3771;0,493521790341578
"76";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2009;7965;3874;0,486377903327056
"77";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2010;8288;3979;0,480091698841699
"78";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2011;8625;4092;0,474434782608696
"79";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2012;8969;4201;0,468391124986063
"80";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2013;9302;4293;0,461513652977854
"81";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2014;9635;4393;0,455941878567722
"82";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2015;9959;4492;0,451049302138769
"83";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2016;10271;4582;0,446110407944699
"84";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2017;10619;4667;0,439495244373293
"85";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2018;11171;4789;0,428699310715245
"86";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2019;11741;4942;0,420918150072396
"87";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2020;12292;5103;0,415148063781321
"88";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2021;12659;5194;0,41030097164073
"89";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2022;12926;5246;0,405848677084945
"90";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2023;13171;5281;0,400956647179409
"91";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2024;13393;5320;0,397222429627417
"92";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2025;13621;5341;0,392115116364437
